SNo,City,Category,AQI_Value,Dominant_Pollutant,Stations,report_date,ingestion_timestamp
189,Pratapgarh,Moderate,116.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
190,Prayagraj,Moderate,156.0,"PM, PM2.510",3/3,2025-11-28,2025-11-28 16:55:23.307601
191,Puducherry,Satisfactory,97.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
192,Pudukottai,Moderate,127.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
193,Pune,Moderate,194.0,"PM2.5",9/13,2025-11-28,2025-11-28 16:55:23.307601
194,Purnia,Satisfactory,67.0,CO,1/1,2025-11-28,2025-11-28 16:55:23.307601
195,Raipur,Satisfactory,86.0,"PM10",4/4,2025-11-28,2025-11-28 16:55:23.307601
196,Rairangpur,Satisfactory,94.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
197,Rajamahendravaram,Moderate,151.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
198,Rajsamand,Poor,213.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
199,Ramanathapuram,Satisfactory,65.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
200,Ratlam,Moderate,162.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
201,Rishikesh,Satisfactory,53.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
202,Rohtak,Very Poor,338.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
203,Rourkela,Moderate,101.0,"PM, PM2.510",3/3,2025-11-28,2025-11-28 16:55:23.307601
204,Rupnagar,Satisfactory,63.0,CO,1/1,2025-11-28,2025-11-28 16:55:23.307601
205,Sagar,Moderate,134.0,"PM, PM2.510",2/2,2025-11-28,2025-11-28 16:55:23.307601
206,Saharsa,Satisfactory,86.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
207,Salem,Moderate,142.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
208,Samastipur,Good,49.0,CO,1/1,2025-11-28,2025-11-28 16:55:23.307601
209,Sangli,Poor,258.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
210,Sasaram,Moderate,168.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
211,Satna,Satisfactory,64.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
212,Sawai Madhopur,Moderate,122.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
213,Shillong,Good,13.0,"O3",1/2,2025-11-28,2025-11-28 16:55:23.307601
214,Shivamogga,Satisfactory,64.0,"O3",1/1,2025-11-28,2025-11-28 16:55:23.307601
215,Sikar,Poor,235.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
216,Silchar,Satisfactory,57.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
217,Siliguri,Satisfactory,85.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
218,Singrauli,Poor,266.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
219,Sirohi,Moderate,187.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
220,Sirsa,Satisfactory,92.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
221,Sivasagar,Satisfactory,60.0,"O3",1/1,2025-11-28,2025-11-28 16:55:23.307601
222,Siwan,Moderate,105.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
223,Solapur,Moderate,166.0,"PM2.5",2/3,2025-11-28,2025-11-28 16:55:23.307601
224,Sonipat,Very Poor,344.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
225,Sri Ganganagar,Moderate,189.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
226,Surat,Moderate,153.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
227,Talcher,Poor,204.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
228,Tensa,Satisfactory,95.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
229,Thane,Satisfactory,86.0,"PM10",2/2,2025-11-28,2025-11-28 16:55:23.307601
230,Thanjavur,Satisfactory,88.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
231,Thiruvananthapuram,Satisfactory,72.0,"PM10",2/2,2025-11-28,2025-11-28 16:55:23.307601
